case	distancePaper	distanceNosotros	optimos
9022	2498	1878	2177
9023	6137	4473	5018
9024	3298	2278	2750
9025	1879	1221	1371
9026	7099	4399	5351
9027	1260	730	1186
9028	371	384	725
9029	2493	1383	1948
9030	0	4676	5470
9031	6399	4137	5000
9032	1096	641	995
9033	4399	3489	4027
9034	1796	1061	1600
9035	1468	998	1345
9036	0	1415	1592
9037	0	475	745
9038	3799	1746	2479
9039	0	5253	6018
9040	1198	532	1084
9041	3198	1971	2517
9042	1598	712	1458
9043	1054	375	637
9044	1383	991	1267
9045	3299	2158	2789
9046	4398	3010	3712
9047	6499	4243	4900
9048	0	682	855
9049	1699	1094	1497
9050	5999	4375	5002
9051	2742	1819	2423
9052	1879	1143	1532
9053	0	897	1358
9054	1698	1002	1444
9055	5499	4373	5037
9056	2096	1396	1834
9057	3299	2451	2862
9058	4999	3018	3664
9059	4454	2994	3728
9060	5840	4332	4980
9061	2449	1692	2048
9062	257	269	537
9063	4354	3029	3796
9064	0	1158	1337
9065	3299	2174	2647
9066	3860	2465	3041
9067	3899	2375	2995
9068	1780	1260	1622
9069	1977	1504	1781
9070	2199	1388	1911
9071	1085	844	1019
9072	2036	1572	1847
9073	0	3353	4044
9074	2076	1341	1712
9075	4299	3154	3877
9076	0	2816	3348
9077	4899	3472	4018
9078	1999	1039	1559
9079	4399	3070	3750
9080	2499	1650	2293
9081	3299	2176	2445
9082	457	478	910
9083	1534	728	1469
9084	767	369	726
9085	2698	1890	2122
9086	4199	2858	3615
9087	4698	3699	4232
9088	4098	2707	3252
9089	782	534	712
9090	999	464	908
9091	1484	856	995
9092	2473	1579	1914
9093	988	444	901
9094	1186	838	1099
9095	178	281	451
9096	1598	726	1468
9097	3860	2547	3152
9098	4699	2741	3490
9099	870	494	617
9100	3598	2487	3109
9101	1535	802	952
9102	3398	2421	2810
9103	2599	1817	2210
9104	1097	540	882
9105	1483	973	1154
9106	1097	685	912
9107	5599	3655	4398
9108	2899	2053	2487
9109	5399	3333	3978
9110	326	347	694
9111	7799	5756	6464
9112	5499	4008	4560
9113	1395	665	1284
9114	3006	2159	2599
9115	154	172	359
9116	398	422	870
9117	2672	1935	2188
9118	0	803	1077
9119	5899	3989	4735
9120	2474	1755	2073
9121	0	2199	2676
9122	167	622	820
9123	5499	3827	4554
9124	1195	913	1032
9125	6499	4263	5073
9126	1407	1025	1278
9127	164	171	355
9128	2296	1816	2064
9129	0	987	1496
9130	1452	996	1262
9131	1196	548	1082
9132	2698	1768	2248
9133	1535	759	930
9134	5199	3942	4505
9135	1186	845	1041
9136	0	373	558
9137	4256	2598	3344
9138	2799	2238	2521
9139	1664	991	1239
9140	2398	1394	2061
9141	5399	3809	4376
9142	4299	2582	3291
9143	1708	1169	1621
9144	2999	1871	2434
9145	1567	1031	1484
9146	263	276	523
9147	2397	1449	2159
9148	1357	943	1186
9149	1697	965	1478
9150	1680	1157	1504
9151	1328	682	950
9152	1598	916	1485
9153	1897	1284	1756
9154	1582	713	1452
9155	1499	925	1159
9156	2799	2119	2492
9157	7599	5940	6657
9158	0	1120	1719
9159	2298	1612	1800
9160	0	2525	3263
9161	6299	4497	5157
9162	4899	2865	3445
9163	0	531	701
9164	1997	1197	1833
9165	0	349	533
9166	5799	4605	5220
9167	228	250	508
9168	0	4202	4874
9169	6199	4237	5022
9170	3599	2395	2915
9171	2770	1674	2308
9172	265	457	828
9173	2299	1520	1897
9174	1565	741	1427
9175	1398	1009	1120
9176	1583	969	1257
9177	254	276	545
9178	0	698	1141
9179	5099	3439	4041
9180	3698	2404	2992
9181	1799	1235	1681
9182	4299	1905	2617
9183	4499	3299	3792
9184	1384	1110	1291
9185	1698	1075	1539
9186	239	251	535
9187	4999	3978	4521
9188	1579	714	1423
9189	988	478	732
9190	4199	2823	3484
9191	0	3915	4593
9192	1698	1239	1513
9193	757	550	738
9194	171	177	338
9195	268	278	556
9196	1170	550	1094
9197	1763	1277	1643
9198	3563	2705	3224
9199	5399	3959	4735
9200	1798	1475	1650
9201	3099	2097	2487
9202	2698	1872	2394
9203	1998	1162	1537
9204	167	185	359
9205	2275	1613	2051
9206	0	3534	4250
9207	0	872	1335
9208	0	385	543
9209	2699	2103	2468
9210	3068	1921	2534
9211	576	346	534
9212	1396	642	1318
9213	0	5041	5850
9214	2228	1377	1705
9215	0	670	825
9216	176	183	372
9217	0	2992	3615
9218	2999	1937	2344
9219	364	378	740
9220	4299	2707	3416
9221	1399	583	1209
9222	1897	1540	1646
9223	2599	1801	2324
9224	1394	863	1180
9225	4699	3316	3963
9226	1897	1337	1786
9227	1383	638	1286
9228	0	635	1000
9229	1879	1247	1699
9230	4499	3244	3953
9231	1599	1249	1421
9232	1797	1072	1603
9233	4099	3190	3558
9234	3599	2689	3193
9235	320	329	681
9236	2399	1464	1739
9237	938	642	712
9238	162	178	353
9239	1269	809	971
9240	0	1401	1772
9241	1977	1051	1373
9242	2797	1729	2359
9243	332	353	719
9244	2473	1575	2225
9245	1499	992	1372
9246	1084	611	986
9247	5398	3151	3949
9248	1599	725	1474
9249	2699	1930	2488
9250	0	720	1082
9251	3698	2579	3305
9252	1857	1292	1592
9253	1997	1321	1721
9254	1995	1651	1844
9255	2474	1760	2001
9256	956	436	865
